Metric,Value
CV ROC AUC Mean,0.8375911949685534
CV ROC AUC Std,0.016430168341055467
CV F1 Mean,0.6177655213288757
CV F1 Std,0.019730090266344688
Best F1 Score,0.6762589927582423
Best Threshold,0.25105861754437414
Sensitivity,0.8703703703703703
Specificity,0.62
ROC AUC Score,0.8092592592592592
MCC,0.4705297554519637
Cohen Kappa,0.37446808510638296
