Metric,Value
CV ROC AUC Mean,0.8355345911949688
CV ROC AUC Std,0.022129978881171714
CV F1 Mean,0.6161200152192613
CV F1 Std,0.04589878568841256
Best F1 Score,0.6861313868135542
Best Threshold,0.2798056269159755
Sensitivity,0.8703703703703703
Specificity,0.64
ROC AUC Score,0.8048148148148148
MCC,0.4885557317169738
Cohen Kappa,0.34500494559841743
