Feature,Importance
Glucose,0.3752682582213167
BMI,0.16413270971256874
Age,0.11084618911917518
Insulin,0.10007964109457447
DiabetesPedigreeFunction,0.07973475389887649
SkinThickness,0.05968813133017702
Pregnancies,0.055314013080133694
BloodPressure,0.0549363035431776
